HumanSymbol	chr	snp	locus	gene_biotype	MouseSymbol
HLA-DPA1	6	rs9275326	HLA-DBQ1	protein_coding	NA
HLA-DPB1	6	rs9275326	HLA-DBQ1	protein_coding	NA
HLA-DQA2	6	rs9275326	HLA-DBQ1	protein_coding	NA
HLA-DQB2	6	rs9275326	HLA-DBQ1	protein_coding	NA
HLA-DRB1	6	rs9275326	HLA-DBQ1	protein_coding	NA
HSPA1A	6	rs9275326	HLA-DBQ1	protein_coding	NA
HSPA1B	6	rs9275326	HLA-DBQ1	protein_coding	Hspa1b
HTR3D	3	rs12637471	MCCC1	protein_coding	NA
IL31	12	rs11060180	CCDC62	protein_coding	Il31
IMPDH2	3	rs12497850	NCKIPSD	protein_coding	Impdh2
IQCF2	3	rs143918452	ALAS1	protein_coding	Iqcf2
IQCF3	3	rs143918452	ALAS1	protein_coding	Iqcf3
KIFC1	6	rs9275326	HLA-DBQ1	protein_coding	Kifc1
KLF16	19	rs62120679	SPPL2B	protein_coding	Klf16
KRT9	17	rs601999	ATP6V0A1	protein_coding	Krt9
KTN1	14	rs11158026	GCH1	protein_coding	Ktn1
LEMD1	1	rs823118	RAB7L1-NUCKS1	protein_coding	Lemd1
LGALS9C	17	rs11868035	SREBF1-RAI1	protein_coding	NA
LINC00854	17	rs601999	ATP6V0A1	protein_coding	NA
LRRC37A	17	rs17649553	MAPT	protein_coding	NA
LRRC37A2	17	rs17649553	MAPT	protein_coding	NA
LST1	6	rs9275326	HLA-DBQ1	protein_coding	Lst1
LY6G6E	6	rs9275326	HLA-DBQ1	protein_coding	Ly6g6e
MCCD1	6	rs9275326	HLA-DBQ1	protein_coding	NA
MCF2L2	3	rs12637471	MCCC1	protein_coding	NA
MSH5-SAPCD1	6	rs9275326	HLA-DBQ1	protein_coding	NA
MUC1	1	rs35749011	GBA-SYT11	protein_coding	Muc1
MYL5	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	NA
NCR3	6	rs9275326	HLA-DBQ1	protein_coding	Ncr3-ps
NISCH	3	rs143918452	ALAS1	protein_coding	Nisch
NKX1-1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Nkx1-1
NOMO2	16	rs11343	COQ7	protein_coding	NA
NPIPA8	16	rs11343	COQ7	protein_coding	NA
NPIPB13	16	rs14235	BCKDK-STX1B	protein_coding	NA
ONECUT3	19	rs62120679	SPPL2B	protein_coding	Onecut3
OR2B2	6	rs9468199	ZNF184	protein_coding	NA
PDE4D	5	rs2694528	ELOVL7	protein_coding	PDE4D
PLD6	17	rs11868035	SREBF1-RAI1	protein_coding	Pld6
PPT2-EGFL8	6	rs9275326	HLA-DBQ1	protein_coding	NA
PRRT1	6	rs9275326	HLA-DBQ1	protein_coding	Prrt1
PTGES3L-AARSD1	17	rs601999	ATP6V0A1	protein_coding	NA
PTRF	17	rs601999	ATP6V0A1	protein_coding	Cavin1
PYDC1	16	rs14235	BCKDK-STX1B	protein_coding	NA
QARS	3	rs12497850	NCKIPSD	protein_coding	Qars
R3HCC1	8	rs2280104	SORBS3	protein_coding	R3hcc1
RPL29	3	rs143918452	ALAS1	protein_coding	Rpl29
RSRC2	12	rs11060180	CCDC62	protein_coding	Rsrc2
SETD1B	12	rs11060180	CCDC62	protein_coding	Setd1b
SF3A2	19	rs62120679	SPPL2B	protein_coding	Sf3a2
SLC35G5	8	rs2740594	CTSB	protein_coding	NA
SLX1A	16	rs14235	BCKDK-STX1B	protein_coding	NA
SMIM4	3	rs143918452	ALAS1	protein_coding	Smim4
STEAP1B	7	rs199347	GPNMB	protein_coding	NA
STH	17	rs17649553	MAPT	protein_coding	NA
SULT1A3	16	rs14235	BCKDK-STX1B	protein_coding	NA
TBC1D28	17	rs11868035	SREBF1-RAI1	protein_coding	NA
TDRD10	1	rs35749011	GBA-SYT11	protein_coding	NA
THAP6	4	rs6812193	FAM47E-SCARB2	protein_coding	NA
TMED2	12	rs11060180	CCDC62	protein_coding	NA
TMEM110	3	rs143918452	ALAS1	protein_coding	Tmem110
TMEM265	16	rs14235	BCKDK-STX1B	protein_coding	Tmem265
TNFRSF10B	8	rs2280104	SORBS3	protein_coding	Tnfrsf10b
TNFRSF10C	8	rs2280104	SORBS3	protein_coding	NA
TNFRSF10D	8	rs2280104	SORBS3	protein_coding	NA
TRIM16L	17	rs11868035	SREBF1-RAI1	protein_coding	NA
TSNAX-DISC1	1	rs10797576	SIPA1L2	protein_coding	NA
UBAP2L	1	rs35749011	GBA-SYT11	protein_coding	Ubap2l
USP17L2	8	rs2740594	CTSB	protein_coding	NA
USP17L7	8	rs2740594	CTSB	protein_coding	NA
WHSC1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Nsd1
YY1AP1	1	rs35749011	GBA-SYT11	protein_coding	NA
ZBED9	6	rs9468199	ZNF184	protein_coding	NA
ZKSCAN4	6	rs9468199	ZNF184	protein_coding	Zkscan4
ZNF141	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	NA
ZNF165	6	rs9468199	ZNF184	protein_coding	NA
ZNF286B	17	rs11868035	SREBF1-RAI1	protein_coding	NA
ZNF343	20	rs8118008	DDRGK1	protein_coding	NA
ZNF385C	17	rs601999	ATP6V0A1	protein_coding	Zfp385c
ZNF391	6	rs9468199	ZNF184	protein_coding	NA
ZNF554	19	rs62120679	SPPL2B	protein_coding	NA
ZNF555	19	rs62120679	SPPL2B	protein_coding	NA
ZNF556	19	rs62120679	SPPL2B	protein_coding	NA
ZNF57	19	rs62120679	SPPL2B	protein_coding	NA
ZNF589	3	rs12497850	NCKIPSD	protein_coding	NA
ZNF678	1	rs4653767	ITPKB	protein_coding	NA
ZNF705D	8	rs2740594	CTSB	protein_coding	NA
ZNF718	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	NA
ZNF720	16	rs14235	BCKDK-STX1B	protein_coding	NA
ZNF721	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	NA
ZNF732	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	NA
ZNF747	16	rs14235	BCKDK-STX1B	protein_coding	NA
ZNF77	19	rs62120679	SPPL2B	protein_coding	NA
ZNF785	16	rs14235	BCKDK-STX1B	protein_coding	NA
ZNF843	16	rs14235	BCKDK-STX1B	protein_coding	NA
ZSCAN16	6	rs9468199	ZNF184	protein_coding	NA
ZSCAN23	6	rs9468199	ZNF184	protein_coding	NA
ZSCAN31	6	rs9468199	ZNF184	protein_coding	Zkscan2
ZSCAN9	6	rs9468199	ZNF184	protein_coding	NA
